ID	KeyWord	Explanation	WORDTEXT
ID	词条	词条释义	词条文本
Client	Client	Client	0
int	int	int	0
1	320001	320081	崩坏
2	320002	320082	崩坏能
3	320003	320083	崩坏源
4	320004	320084	现实扭曲立场
5	320005	320085	大崩坏
6	320006	320086	第二次崩坏
7	320007	320087	第三次崩坏
8	320008	320088	崩坏兽
9	320009	320089	律者
10	320010	320090	拟似律者
11	320226	320227	追溯篇
12	320228	320229	新生篇
13	320011	320091	死士
14	320012	320092	天命
15	320013	320093	卡斯兰娜家族
16	320014	320094	沙尼亚特家族
17	320015	320095	阿波卡利斯家族
18	320016	320096	圣芙蕾雅学园
19	320017	320097	女武神
20	320018	320098	逆熵
21	320019	320099	执行者
22	320020	320100	ME社
23	320021	320101	可可利亚孤儿院
24	320022	320102	月光王座
25	320023	320103	休伯利安
26	320024	320104	长空市
27	320025	320105	千羽学园
28	320026	320106	幻海实验室
29	320027	320107	雾海庄园
30	320028	320108	吼姆乐园
31	320029	320109	巴比伦学园
32	320030	320110	教条区
33	320031	320111	西伯利亚冰窟
34	320032	320112	幻海实验
35	320033	320113	雪狼小队
36	320034	320114	噩梦
37	320035	320115	黑死病
38	320036	320116	犹大的誓约
39	320037	320117	重装小兔
40	320038	320118	神格觉醒
41	320039	320119	日冕重剑
42	320040	320120	吼姆大冒险
43	320041	320121	轩辕剑
44	320042	320122	律者宝石
45	320043	320123	女武神第五小队
46	320044	320124	圣芙蕾雅大教堂
47	320045	320125	Nexus装甲
48	320046	320126	琪亚娜
49	320047	320127	雷电芽衣
50	320048	320128	布洛妮娅
51	320049	320129	蓬莱寺九霄
52	320050	320130	无量塔姬子
53	320051	320131	德莉莎
54	320052	320132	希儿
55	320053	320133	杏
56	320054	320134	齐格飞
57	320055	320135	雷电龙马
58	320056	320136	吼姆剑客
59	320057	320137	北辰芽衣
60	320058	320138	可可利亚
61	320059	320139	卡莲
62	320060	320140	八重樱
63	320061	320141	耀夜姬
64	320062	320142	希露法莉亚
65	320063	320143	柯罗伊
66	320064	320144	时雨绮罗
67	320065	320145	阿尼拉
68	320066	320146	普蕾提
69	320067	320147	艾薇娅
70	320068	320148	璐璐
71	320069	320149	吼姆
72	320070	320150	吼美
73	320230	320231	吼辣
74	320071	320151	崩坏娘
75	320072	320152	灵依娘
76	320073	320153	大伟哥
77	320074	320154	水银
78	320075	320155	翡翠
79	320076	320156	黑枫白樱
80	320077	320157	伞妖千影
81	320078	320158	迦娜
82	320079	320159	博士
83	320234	320235	艾拉
84	320232	320233	使魔世界
85	320080	320160	翁德兰大陆
86	320236	320239	旅人
87	320237	320240	兵神
88	320238	320241	伽蓝
89	320242	320246	极光城
90	320243	320247	欧若拉
91	320244	320248	塞西莉娅
92	320245	320249	天启骑士
93	320255	320261	辉煌盟约
94	320256	320262	奥托
95	320257	320263	瓦尔特
96	320258	320264	无色辉火
97	320259	320265	玛丽亚
98	320260	320266	安洁利亚
99	320270	320272	归墟
100	320271	320273	圣痕计划
101	320282	320287	Mobius
102	320283	320288	Avalon
103	320284	320289	诺亚
104	320285	320290	菲米莉丝
105	320286	320291	宁蒂
106	320307	320312	传承篇
107	320308	320313	库库尔坎
108	320309	320314	圣痕空间
109	320310	320315	人造律者
110	320311	320316	圣露德学园
111	320317	320326	妮娜
112	320318	320327	西琳
113	320319	320328	克莱尔
114	320320	320329	芙洛拉
115	320321	320330	魔术师
116	320322	320331	A-374
117	320323	320332	赛露蒂
118	320324	320333	符华
119	320325	320334	诗音
