PosterID	FigureID	Type	PersonatedMaxIntimacy	PosterName	TalkList	facelist	cvlist	height	threesize	seriesname	description	brithday	hobby	FirstSightDialogue	SeriesID	Live2D	Group	GroupName	IsOpen	BackGround	DialogueX	DialogueY	isPDAS	IsEntry	PartsNum
1	1001	1	0	204059	204060;204061;204062;204063;204064;204065;204344;	1;2;3;1;2;3;2;	0;0;3;0;0;3;0;	163cm	84/59/87	205001	204067	12/7	204068	204069	7	1	1	0	1	0	-150	0	0	0	0
2	1002	2	99	204070	204071;204072;204073;204074;204075;204076;	0;0;0;0;0;0;	0;0;0;0;0;0;	167cm	88/62/85	205002	204078	7/23	204079	204080	7	2	1001	0	1	0	-150	0	0	0	0
3	1003	2	99	204081	204082;204083;204084;204085;204086;204087;	0;0;0;0;0;0;	0;0;0;0;0;0;	169cm	80/60/86	205003	204089	3/24	204090	204091	6	0	1002	0	1	0	-150	0	0	0	0
4	1004	2	99	204092	204093;204094;204095;204096;204097;204098;	0;0;0;0;0;0;	0;0;0;0;0;0;	165cm	95/62/85	205004	204100	2/22	204101	204102	1	0	1003	0	1	0	-150	0	0	0	0
5	1005	2	99	204103	204104;204105;204106;204107;204108;204109;	0;0;0;0;0;0;	0;0;0;0;0;0;	162cm	86/61/87	205005	204111	8/28	204112	204113	4	0	1004	0	1	0	-150	0	0	0	0
6	1006	2	99	204114	204115;204116;204117;204118;204119;204120;	0;0;0;0;0;0;	0;0;0;0;0;0;	151cm	70/55/68	205006	204122	10/23	204123	204124	2	0	1005	0	1	0	-150	0	0	0	0
7	1007	2	99	204125	204126;204127;204128;204129;204130;204131;	0;0;0;0;0;0;	0;0;0;0;0;0;	172cm	95/62/88	205007	204133	10/2	204134	204135	5	0	1006	0	1	0	-150	0	0	0	0
8	1008	2	99	204136	204137;204138;204139;204140;204141;204142;	0;0;0;0;0;0;	0;0;0;0;0;0;	165cm	90/62/84	205008	204144	-	204145	204146	1	0	1007	0	1	0	-150	0	0	0	0
9	1009	2	99	80001	81120;81121;81122;81123;81124;81125;	0;0;0;0;0;0;	0;0;0;0;0;0;	142cm	72/58/70	205009	81100	1/30	81110	81120	7	0	1008	0	1	0	-150	0	0	0	0
10	1010	2	99	80002	81128;81129;81130;81131;81132;81133;	3;1;3;3;2;2;	0;0;0;0;0;0;	171cm	84/61/85	205010	81101	7/19	81111	81129	3	0	1009	0	1	0	-150	0	0	0	0
11	1011	6	99	80003	81135;81136;81137;81138;81139;81140;81141;81142;81143;	2;3;2;1;2;4;3;2;1;	1;2;3;4;5;6;7;8;9;	160cm	??/??/??	205011	81102	3/14	204584	81136	7	0	10101	0	1	0	-150	0	0	0	0
12	1012	6	99	80004	81144;81145;81146;	0;0;0;	0;0;0;	153cm	??/??/??	205012	81103	-	204584	81144	7	0	10102	0	1	0	-150	0	0	0	0
13	1013	6	99	80005	81147;81148;81149;81150;81151;81152;81153;81154;	1;2;3;4;5;6;7;8;	1;2;3;4;5;6;7;8;	180cm	??/??/??	205013	81104	4/28	204584	81147	7	0	10103	0	1	0	-150	0	0	0	0
14	1014	6	99	80006	81155;81156;81157;81158;81159;81160;81161;81162;	2;3;1;3;1;2;3;2;	1;2;3;4;5;6;7;8;	164cm	??/??/??	205014	81105	11/27	204584	81155	7	0	10104	0	1	0	-150	0	0	0	0
15	1015	6	99	80007	81163;81164;81165;81166;81167;81168;81169;81170;	1;2;2;1;3;5;3;4;	1;2;3;4;5;6;7;8;	182cm	??/??/??	205015	81106	12/14	204584	81163	7	0	10105	0	1	0	-150	0	0	0	0
16	1016	6	99	80008	81171;81172;81173;81174;81175;81176;81177;81178;	2;2;3;2;3;1;1;1;	1;2;3;4;5;6;7;8;	165cm	??/??/??	205016	81107	5/12	204584	81171	7	0	10106	0	1	0	-150	0	0	0	0
