StroyID	BackgroundID	TitleText	DialogueID	Poster1	IntimacyRequire	Awardcrystal	Awardecho
101	1	330460	330467	6	0	100	0
102	1	330461	330468	6	99	100	0
103	1	330462	330469	6	10	0	50
104	1	330463	330470	6	20	0	50
105	1	330464	330471	6	30	0	50
106	1	330465	330472	6	40	0	50
107	1	330466	330473	6	50	0	50
201	1	330096	330103	3	0	100	0
202	1	330097	330104	3	99	100	0
203	1	330098	330105	3	10	0	50
204	1	330099	330106	3	20	0	50
205	1	330100	330107	3	30	0	50
206	1	330101	330108	3	40	0	50
207	1	330102	330109	3	50	0	50
301	1	330292	330299	2	0	100	0
302	1	330293	330300	2	99	100	0
303	1	330294	330301	2	10	0	50
304	1	330295	330302	2	20	0	50
305	1	330296	330303	2	30	0	50
306	1	330297	330304	2	40	0	50
307	1	330298	330305	2	50	0	50
401	1	330054	330061	4	0	100	0
402	1	330055	330062	4	99	100	0
403	1	330056	330063	4	10	0	50
404	1	330057	330064	4	20	0	50
405	1	330058	330065	4	30	0	50
406	1	330059	330066	4	40	0	50
407	1	330060	330067	4	50	0	50
501	1	330474	330476	5	0	100	0
502	1	330475	330477	5	99	100	0
601	1	330180	330187	7	0	100	0
602	1	330181	330188	7	99	100	0
603	1	330182	330189	7	10	0	50
604	1	330183	330190	7	20	0	50
605	1	330184	330191	7	30	0	50
606	1	330185	330192	7	40	0	50
607	1	330186	330193	7	50	0	50
701	1	330320	330327	8	0	100	0
702	1	330321	330328	8	99	100	0
703	1	330322	330329	8	10	0	50
704	1	330323	330330	8	20	0	50
705	1	330324	330331	8	30	0	50
706	1	330325	330332	8	40	0	50
707	1	330326	330333	8	50	0	50
801	1	330068	330075	9	0	100	0
802	1	330069	330076	9	99	100	0
803	1	330070	330077	9	10	0	50
804	1	330071	330078	9	20	0	50
805	1	330072	330079	9	30	0	50
806	1	330073	330080	9	40	0	50
807	1	330074	330081	9	50	0	50
901	1	330166	330173	10	0	100	0
902	1	330167	330174	10	99	100	0
903	1	330168	330175	10	10	0	50
904	1	330169	330176	10	20	0	50
905	1	330170	330177	10	30	0	50
906	1	330171	330178	10	40	0	50
907	1	330172	330179	10	50	0	50
1001	1	330082	330089	20	0	100	0
1002	1	330083	330090	20	99	100	0
1003	1	330084	330091	20	10	0	50
1004	1	330085	330092	20	20	0	50
1005	1	330086	330093	20	30	0	50
1006	1	330087	330094	20	40	0	50
1007	1	330088	330095	20	50	0	50
1101	1	330390	330397	21	0	100	0
1102	1	330391	330398	21	99	100	0
1103	1	330392	330399	21	10	0	50
1104	1	330393	330400	21	20	0	50
1105	1	330394	330401	21	30	0	50
1106	1	330395	330402	21	40	0	50
1107	1	330396	330403	21	50	0	50
1201	1	330376	330383	22	0	100	0
1202	1	330377	330384	22	99	100	0
1203	1	330378	330385	22	10	0	50
1204	1	330379	330386	22	20	0	50
1205	1	330380	330387	22	30	0	50
1206	1	330381	330388	22	40	0	50
1207	1	330382	330389	22	50	0	50
1301	1	330124	330131	23	0	100	0
1302	1	330125	330132	23	99	100	0
1303	1	330126	330133	23	10	0	50
1304	1	330127	330134	23	20	0	50
1305	1	330128	330135	23	30	0	50
1306	1	330129	330136	23	40	0	50
1307	1	330130	330137	23	50	0	50
1401	1	330208	330215	24	0	100	0
1402	1	330209	330216	24	99	100	0
1403	1	330210	330217	24	10	0	50
1404	1	330211	330218	24	20	0	50
1405	1	330212	330219	24	30	0	50
1406	1	330213	330220	24	40	0	50
1407	1	330214	330221	24	50	0	50
1501	1	330418	330425	25	0	100	0
1502	1	330419	330426	25	99	100	0
1503	1	330420	330427	25	10	0	50
1504	1	330421	330428	25	20	0	50
1505	1	330422	330429	25	30	0	50
1506	1	330423	330430	25	40	0	50
1507	1	330424	330431	25	50	0	50
1601	1	330110	330117	27	0	100	0
1602	1	330111	330118	27	99	100	0
1603	1	330112	330119	27	10	0	50
1604	1	330113	330120	27	20	0	50
1605	1	330114	330121	27	30	0	50
1606	1	330115	330122	27	40	0	50
1607	1	330116	330123	27	50	0	50
1701	1	330152	330159	29	0	100	0
1702	1	330153	330160	29	99	100	0
1703	1	330154	330161	29	10	0	50
1704	1	330155	330162	29	20	0	50
1705	1	330156	330163	29	30	0	50
1706	1	330157	330164	29	40	0	50
1707	1	330158	330165	29	50	0	50
1801	1	330404	330411	31	0	100	0
1802	1	330405	330412	31	99	100	0
1803	1	330406	330413	31	10	0	50
1804	1	330407	330414	31	20	0	50
1805	1	330502	330503	31	30	0	50
1806	1	330408	330415	31	40	0	50
1807	1	330409	330416	31	50	0	50
1808	1	330410	330417	31	60	0	50
1901	1	330040	330047	30	0	100	0
1902	1	330046	330053	30	99	100	0
1903	1	330041	330048	30	10	0	50
1904	1	330042	330049	30	20	0	50
1905	1	330043	330050	30	30	0	50
1906	1	330044	330051	30	40	0	50
1907	1	330045	330052	30	50	0	50
2001	1	330138	330145	32	0	100	0
2002	1	330139	330146	32	99	100	0
2003	1	330140	330147	32	10	0	50
2004	1	330141	330148	32	20	0	50
2005	1	330142	330149	32	30	0	50
2006	1	330143	330150	32	40	0	50
2007	1	330144	330151	32	50	0	50
2101	1	330446	330453	37	0	100	0
2102	1	330447	330454	37	99	100	0
2103	1	330448	330455	37	10	0	50
2104	1	330449	330456	37	20	0	50
2105	1	330450	330457	37	30	0	50
2106	1	330451	330458	37	40	0	50
2107	1	330452	330459	37	50	0	50
2201	1	330278	330285	36	0	100	0
2202	1	330279	330286	36	99	100	0
2203	1	330280	330287	36	10	0	50
2204	1	330281	330288	36	20	0	50
2205	1	330282	330289	36	30	0	50
2206	1	330283	330290	36	40	0	50
2207	1	330284	330291	36	50	0	50
2301	1	330432	330439	35	0	100	0
2302	1	330433	330440	35	99	100	0
2303	1	330434	330441	35	10	0	50
2304	1	330435	330442	35	20	0	50
2305	1	330436	330443	35	30	0	50
2306	1	330437	330444	35	40	0	50
2307	1	330438	330445	35	50	0	50
2401	1	330306	330313	46	0	100	0
2402	1	330307	330314	46	99	100	0
2403	1	330308	330315	46	10	0	50
2404	1	330309	330316	46	20	0	50
2405	1	330310	330317	46	30	0	50
2406	1	330311	330318	46	40	0	50
2407	1	330312	330319	46	50	0	50
2501	1	330236	330243	49	0	100	0
2502	1	330237	330244	49	99	100	0
2503	1	330238	330245	49	10	0	50
2504	1	330239	330246	49	20	0	50
2505	1	330240	330247	49	30	0	50
2506	1	330241	330248	49	40	0	50
2507	1	330242	330249	49	50	0	50
2601	1	330236	330243	50	0	100	0
2602	1	330237	330244	50	99	100	0
2603	1	330238	330245	50	10	0	50
2604	1	330239	330246	50	20	0	50
2605	1	330240	330247	50	30	0	50
2606	1	330241	330248	50	40	0	50
2607	1	330242	330249	50	50	0	50
2701	1	330236	330243	51	0	100	0
2702	1	330237	330244	51	99	100	0
2703	1	330238	330245	51	10	0	50
2704	1	330239	330246	51	20	0	50
2705	1	330240	330247	51	30	0	50
