DialogueID	DialogueText	RoleID	RoleStorySide	RoleFace	RoleMotion	isMotionFirst	RoleDelay	ItemShowCaseID	CGID	BGID	EffectID	isEffectFirst	EffectDelay	EffectDuration	SoundID	SoundDelay	SoundDuration	BGMID
对白ID	剧情文本	人物ID	立绘左右，0表示左，1表示右	表情	角色动作的id	动作播放顺序	动作延迟	此处配置itemshowcase时，展示一个需要对应的物品图	全屏图的id，配置为路径id的单张图片	背景图的id，配置为路径id的单张图片	效果	效果播放顺序	效果出现延迟	效果持续多少个对话	音效	音效延迟	音效持续多少对话	背景音乐
Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client	Client
int	string	int	int	int	int	int	float	string	string	string	int	int	float	int	int	float	int	int
1	30001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	30002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250003	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250005	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250006	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250007	804	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250008	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250010	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	250011	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	250012	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	250013	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	250014	804	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	250015	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	250016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250017	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250018	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250019	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250020	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250022	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250023	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	250024	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	250025	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	250026	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	250027	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
