ID	Type	ExType	ExTitle	ExTitleText	SeasonID	SeasonTitle	SeasonText	BannerID	BannerTitle	BannerText	Title	TitleText	DialogueID	IsSub	UnlockLevel	DialogueType
ID	类型	番外类型	番外名称	番外名称文本	季数	季数标题	季数文本	头图ID	头图标题	头图文本	章节标题	标题文本	对白ID	是否支线	解锁关卡	对白来源
Client	Client	Client/Server	Client	0	Client/Server	Client	0	Client	Client	0	Client	0	Client	Client	Client/Server	Client
int	int	int	int	0	int	int	0	string	int	0	int	0	int	bool	int	int
1	1	1	320196	追溯篇	1	320161	第一章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20003	崩坏降临	320181	第一节	1	0	1	999
2	1	1	320196	追溯篇	1	320161	第一章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20003	崩坏降临	320182	第二节	2	0	4	999
3	1	1	320196	追溯篇	2	320162	第二章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20004	琪亚娜出击	320181	第一节	3	0	7	999
4	1	1	320196	追溯篇	2	320162	第二章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20004	琪亚娜出击	320182	第二节	4	0	13	999
5	1	1	320196	追溯篇	3	320163	第三章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20005	不祥的雷电	320181	第一节	5	0	15	999
6	1	1	320196	追溯篇	3	320163	第三章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20005	不祥的雷电	320182	第二节	6	0	18	999
7	1	1	320196	追溯篇	3	320163	第三章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20005	不祥的雷电	320183	第三节	7	0	22	999
8	1	1	320196	追溯篇	4	320164	外传一章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20006	禁止入内	320181	第一节	8	1	23	999
9	1	1	320196	追溯篇	4	320164	外传一章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20006	禁止入内	320182	第二节	9	1	25	999
10	1	1	320196	追溯篇	4	320164	外传一章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20006	禁止入内	320183	第三节	10	1	31	999
11	1	1	320196	追溯篇	5	320165	外传二章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20007	膨胀的欲望	320181	第一节	11	1	32	999
12	1	1	320196	追溯篇	5	320165	外传二章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20007	膨胀的欲望	320182	第二节	12	1	40	999
13	1	1	320196	追溯篇	6	320166	第四章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20008	不科学的超电磁炮	320181	第一节	13	0	41	999
14	1	1	320196	追溯篇	6	320166	第四章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20008	不科学的超电磁炮	320182	第二节	14	0	45	999
15	1	1	320196	追溯篇	6	320166	第四章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20008	不科学的超电磁炮	320183	第三节	15	0	49	999
16	1	1	320196	追溯篇	7	320167	第五章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20009	好奇心害死喵	320181	第一节	16	0	50	999
17	1	1	320196	追溯篇	7	320167	第五章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20009	好奇心害死喵	320182	第二节	17	0	52	999
18	1	1	320196	追溯篇	7	320167	第五章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20009	好奇心害死喵	320183	第三节	18	0	55	999
19	1	1	320196	追溯篇	7	320167	第五章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20009	好奇心害死喵	320184	第四节	19	0	58	999
20	1	1	320196	追溯篇	8	320168	外传三章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20010	怨念	320181	第一节	20	1	59	999
21	1	1	320196	追溯篇	8	320168	外传三章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20010	怨念	320182	第二节	21	1	63	999
22	1	1	320196	追溯篇	8	320168	外传三章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20010	怨念	320183	第三节	22	1	67	999
23	1	1	320196	追溯篇	9	320169	外传四章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20011	魂的守望	320181	第一节	23	1	68	999
24	1	1	320196	追溯篇	9	320169	外传四章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20011	魂的守望	320182	第二节	24	1	72	999
25	1	1	320196	追溯篇	9	320169	外传四章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20011	魂的守望	320183	第三节	25	1	76	999
26	1	1	320196	追溯篇	10	320170	外传五章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20012	只奢望有一天 可以与你平视	320181	第一节	26	1	77	999
27	1	1	320196	追溯篇	10	320170	外传五章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	20012	只奢望有一天 可以与你平视	320182	第二节	27	1	88	999
28	1	1	320196	追溯篇	11	320171	第六章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320197	触不到的崩坏源	320181	第一节	28	0	89	999
29	1	1	320196	追溯篇	11	320171	第六章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320197	触不到的崩坏源	320182	第二节	29	1	94	999
30	1	1	320196	追溯篇	11	320171	第六章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320197	触不到的崩坏源	320183	第三节	30	0	96	999
31	1	1	320196	追溯篇	11	320171	第六章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320197	触不到的崩坏源	320184	第四节	31	0	104	999
32	1	1	320196	追溯篇	12	320172	第七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320198	绝密报告	320181	第一节	32	0	105	999
33	1	1	320196	追溯篇	12	320172	第七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320198	绝密报告	320182	第二节	33	1	107	999
34	1	1	320196	追溯篇	12	320172	第七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320198	绝密报告	320183	第三节	34	0	112	999
35	1	1	320196	追溯篇	12	320172	第七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320198	绝密报告	320184	第四节	35	1	115	999
36	1	1	320196	追溯篇	12	320172	第七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320198	绝密报告	320185	第五节	36	0	120	999
37	2	3	100183	雾海庄园	1	320190	第一季	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/AdditionalHauted.png	100183	雾海庄园	320181	第一节	37	0	0	999
38	2	3	100183	雾海庄园	1	320190	第一季	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/AdditionalHauted.png	100183	雾海庄园	320182	第二节	38	0	0	999
39	2	3	100183	雾海庄园	2	320191	第二季	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/AdditionalHauted.png	100183	雾海庄园	320181	第一节	39	0	0	999
40	3	15	19936	八重樱	1	19936	八重樱	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/YaeSakura.png	19936	八重樱	23983	八重樱咲·初咲	40	0	0	999
41	3	15	19936	八重樱	1	19936	八重樱	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/YaeSakura.png	19936	八重樱	23984	八重樱咲·满咲	41	0	0	999
42	3	15	19936	八重樱	1	19936	八重樱	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/YaeSakura.png	19936	八重樱	23985	八重樱咲·华胥	42	0	0	999
48	1	1	320196	追溯篇	13	320173	外传六章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320199	源力容器	320181	第一节	48	1	121	999
49	1	1	320196	追溯篇	13	320173	外传六章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320199	源力容器	320182	第二节	49	1	135	999
50	1	1	320196	追溯篇	14	320174	第八章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320200	存在的理由	320181	第一节	50	0	137	999
51	1	1	320196	追溯篇	14	320174	第八章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320200	存在的理由	320182	第二节	51	0	144	999
52	1	1	320196	追溯篇	14	320174	第八章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320200	存在的理由	320183	第三节	52	0	145	999
53	1	1	320196	追溯篇	14	320174	第八章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320200	存在的理由	320184	第四节	53	0	152	999
54	1	1	320196	追溯篇	15	320175	外传七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320201	吼姆乐园·暗夜圆舞曲	320181	第一节	54	1	153	999
55	1	1	320196	追溯篇	15	320175	外传七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320201	吼姆乐园·暗夜圆舞曲	320182	第二节	55	1	160	999
56	1	1	320196	追溯篇	15	320175	外传七章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320201	吼姆乐园·暗夜圆舞曲	320183	第三节	56	1	170	999
57	1	1	320196	追溯篇	16	320176	外传八章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320195	吼姆乐园·雪色狂想曲	320181	第一节	57	1	171	999
58	1	1	320196	追溯篇	16	320176	外传八章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320195	吼姆乐园·雪色狂想曲	320182	第二节	58	1	178	999
59	1	1	320196	追溯篇	16	320176	外传八章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320195	吼姆乐园·雪色狂想曲	320183	第三节	59	1	179	999
60	1	1	320196	追溯篇	17	320177	第九章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320202	莱茵河的黄金	320181	第一节	60	0	8001	999
61	1	1	320196	追溯篇	17	320177	第九章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320202	莱茵河的黄金	320182	第二节	61	1	8007	999
62	1	1	320196	追溯篇	17	320177	第九章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320202	莱茵河的黄金	320183	第三节	62	0	8009	999
63	1	1	320196	追溯篇	17	320177	第九章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320202	莱茵河的黄金	320184	第四节	63	0	8010	999
64	1	1	320196	追溯篇	17	320177	第九章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320202	莱茵河的黄金	320185	第五节	64	0	8014	999
65	1	1	320196	追溯篇	17	320177	第九章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320202	莱茵河的黄金	320186	第六节	65	1	8016	999
66	1	1	320196	追溯篇	17	320177	第九章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320202	莱茵河的黄金	320187	第七节	66	0	8018	999
67	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320181	第一节	67	0	8019	999
68	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320182	第二节	68	1	8021	999
69	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320183	第三节	69	0	8023	999
70	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320184	第四节	70	0	8024	999
71	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320185	第五节	71	0	8028	999
72	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320186	第六节	72	0	8033	999
73	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320187	第七节	73	1	8034	999
74	1	1	320196	追溯篇	18	320178	第十章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320203	女武神的骑行	320188	第八节	74	0	8036	999
75	1	1	320196	追溯篇	19	320179	第十一章	http://static-image.benghuai.com/hsod2_webview/images/broadcast_top/ui/StoryMode.png	320204	齐格弗里德	320181	第一节	75	0	8037	999
