ChoiceID	ChoiceTitle	ChoiceText	ChoiceStoryType	ChoiceStory	MergedStory	isShowMask
选项ID	选项标题	选项内容	选项跳转类型	选项跳转到的剧情	分支剧情结束后，跳转到的正常剧情	是否显示选项背后的暗色遮罩
Client	Client	Client	Client	Client	Client	Client
int	int	list<int>	list<int>	list<int>	int	int
1	55489	471989	0	0	3427	0
2	472080	472081;472083	0;0	3429;3430	3431	0
3	55489	472110	0	0	3437	0
4	472115	472116	0	0	3438	0
5	472119	472120	0	0	3439	0
6	55489	472124	0	0	3440	0
7	472128	472129;472132;472136	0;0;0	3441;3442;3443	3444	0
8	55489	472141;472143	0;0	3445;3446	3447	0
9	55489	472214;472216;472220	0;0;0	3450;3451;3452	3453	0
10	55489	472273	0	0	3455	0
11	55489	472278	0	0	3456	0
12	55489	472284;472287	0;0	3457;3458	3459	0
13	55489	472298	0	0	3460	0
14	55489	472301	0	0	3461	0
15	55489	472307	0	0	3462	0
16	55489	472311	0	0	3463	0
17	55489	472315	0	0	3464	0
18	55489	472320;472323;472326	0;0;0	3465;3466;3467	3468	0
19	55489	472334	0	0	3469	0
20	55489	472337;472340	0;0	3470;3471	3472	0
21	55489	472375;472377;472379	0;0;0	3474;3475;3476	3477	0
22	55489	472397;472401	0;0	3478;3479	3480	0
23	55489	472410;472417	0;0	3481;3482	3483	0
24	55489	472427;472429	0;0	3484;3485	3486	0
25	55489	472438	0	0	3487	0
26	55489	472443;472445	0;0	3488;3489	3490	0
27	55489	472449	0	0	3491	0
28	55489	472452	0	0	3492	0
29	55489	472457	0	0	3493	0
30	55489	472487	0	0	3495	0
31	55489	472516	0	0	3497	0
32	55489	472519	0	0	3498	0
33	55489	472566	0	0	3499	0
34	55489	472569	0	0	3500	0
35	472595	472596	0	0	3502	0
36	472598	472599	0	0	3503	0
37	55489	472608	0	0	3504	0
38	55489	472622	0	0	3506	0
39	55489	472626	0	0	3507	0
40	472629	472630	0	0	3508	0
41	472670	472671;472674	0;0	3510;3511	3512	0
42	55489	472715	0	0	3514	0
43	55489	472730	0	0	3515	0
44	55489	472732	0	0	3516	0
45	55489	472734	0	0	3517	0
46	55489	472764	0	0	3519	0
47	55489	472790	0	0	3520	0
48	55489	472795	0	0	3521	0
49	55489	472800	0	0	3522	0
50	55489	472824	0	0	3524	0
51	55489	472866	0	0	3526	0
52	55489	472881	0	0	3527	0
53	55489	472884;472886	0;0	3528;3529	3530	0
54	55489	472909	0	0	3532	0
55	55489	472915	0	0	3533	0
56	55489	472921	0	0	3534	0
57	55489	472927	0	0	3535	0
58	55489	472934	0	0	3536	0
59	472957	472958	0	0	3537	0
60	472981	472982;472983	0;0	3537;3538	3539	0
61	473001	473002;473003	0;0	3537;3540	3541	0
62	473016	473017;473018	0;0	3537;3542	3543	0
63	473066	473067	0	0	3544	0
64	55489	473196	0	0	3547	0
65	55489	473199	0	0	3548	0
66	55489	473204	0	0	3549	0
67	55489	473208	0	0	3550	0
68	473211	473212;473213	0;0	3551;3552	3553	0
69	473223	473224	0	0	3555	0
70	55489	473226	0	0	3556	0
71	55489	473230	0	0	3557	0
72	473233	473234;473235	0;0	3558;3559	3560	0
73	55489	473240	0	0	3561	0
74	55489	473244	0	0	3562	0
75	55489	473250;473251	0;0	3563;3564	3565	0
76	55489	473289	0	0	3567	0
77	55489	473306;473307	0;0	3568;3569	3570	0
78	55489	473315;473316	0;0	3571;3572	3573	0
79	55489	473329	0	0	3574	0
80	55489	473335	0	0	3576	0
81	55489	473339	0	0	3577	0
82	55489	473365;473366	0;0	3579;3580	3581	0
83	55489	473475	0	0	3583	0
84	55489	473477;473478	0;0	3584;3585	3586	0
85	55489	473499	0	0	3588	0
86	55489	473538	0	0	3589	0
87	55489	473541	0	0	3590	0
