ID	PNGName	DevX	DevY	StorySide	FigueName	FacePosition	FlipOnOtherSide	Scale	BaseScale
0	图片路径	立绘x轴的偏移	立绘y轴的偏移	非九霄中人物的默认站位，1为左，2为右	人物名字	脸的位置（替换）	当立绘放在storyside另一边时，是否翻转	大小	以1024为1的基准的scale调整值
Client	Client	Client	Client	Client	Client	Client	Client	Client	Client
int	string	float	float	int	int	List<float>	bool	float	float
0	0	0.5	0	1	0	0;0	0	1	1
1	001	0.5	0.3	1	0	0;0	0	1	1
2	002	0.5	0.3	1	0	0;0	0	1	1
3	Boss/003	0.5	0.48	2	204541	0;0	0	1	1
4	Boss/004	0.5	0.55	2	204542	0;0	0	1	1
5	Boss/005	0.5	0.55	2	204543	0;0	0	1	1
6	006	0.5	0.3	1	0	0;0	0	1	1
7	Kevin/802	0.5	0.3	1	204544	0;0	0	1	1
8	Kevin/802	0.5	0.3	1	204545	0;0	0	1	1
9	Homu/009	0.5	0.26	1	204546	0;0	0	1	1
10	WorldBoss1/010	0.5	0.5	2	204547	0;0	0	1	1
11	WorldBoss1/011	0.5	0.55	2	204548	0;0	0	1	1
12	WorldBoss1/012	0.5	0.55	2	204549	0;0	0	1	1
13	WorldBoss2/013	0.5	0.4	2	204550	0;0	0	1	1
14	WorldBoss3/014	0.5	0.5	1	204551	0;0	0	1	1
15	WorldBoss3/015	0.5	0.5	2	204552	0;0	0	1	1
16	WorldBoss4/016	0.5	0.53	2	204591	0;0	0	1	1
17	Boss/017	0.6	0.55	2	204606	0;0	0	1	1
18	Boss/018	0.6	0.52	2	204606	0;0	0	1	1
19	Hakase/019	0.5	0.56	2	204607	541.83;841.24	0	1	1
20	Hakase/019	0.5	0.56	2	204584	0;0	0	1	1
21	Boss3/671	0.5	0.58	2	204584	0;0	0	1	1
22	Boss/017	0.5	0.55	2	204584	0;0	0	1	1
23	Boss/023	0.5	0.55	2	204630	0;0	0	1	1
24	Boss/024	0.5	0.54	2	204631	0;0	0	1	1
25	Boss/025	0.5	0.55	2	204632	0;0	0	1	1
26	Boss/026	0.5	0.6	2	204633	0;0	0	1	1
27	Boss/027	0.5	0.6	2	204634	0;0	0	1	1
28	Boss/028	0.5	0.6	2	204644	0;0	0	1	1
29	Boss/029	0.5	0.6	2	204644	0;0	0	1	1
30	Boss/030	0.5	0.6	2	204647	0;0	0	1	1
31	Boss/031	0.5	0.6	2	204592	0;0	0	1	1
32	Boss/032	0.5	0.54	2	204591	571;847.96	0	1	1
33	Boss/033	0.5	0.57	2	291876	479;861.96	0	1	1
34	Boss/034	0.5	0.6	2	291881	0;0	0	1	1
35	Ningdi/035	0.5	0.55	2	204688	523;769.96	0	1	1
36	Boss/036	0.5	0.55	2	204689	497;817.2	0	1	1
38	Boss/038	0.5	0.53	2	204706	486;788.2	0	1	1
39	Hakase/039	0.5	0.56	2	204607	0;0	0	1	1
40	Boss/040	0.5	0.54	2	204720	522;860.96	0	1	1
41	WorldBoss5/041	0.5	0.54	2	15376	0;0	0	1	1
42	WorldBoss5/042	0.5	0.54	2	15376	0;0	0	1	1
43	Boss/043	0.5	0.54	2	291942	494;798.96	0	1	1
44	Boss/044	0.5	0.58	1	204738	530;857.96	0	1	1
45	Boss/045	0.5	0.62	1	204738	526;875.96	0	1	1
46	Boss/046	0.5	0.54	2	204741	491;805.88	0	1	1
47	Boss/047	0.5	0.54	2	204744	504;804.96	0	1	1
48	Boss/048	0.5	0.54	2	204744	0;0	0	1	1
49	Boss/049	0.5	0.54	2	204757	512.3;759.3	0	1	1
50	Kyujou/050	0.5	0.58	1	204610	0;0	0	1	1
51	Kyujou/051	0.5	0.55	1	204611	0;0	0	1	1
52	Kyujou/052	0.5	0.56	1	204612	0;0	0	1	1
53	Kyujou/053	0.5	0.56	1	204613	430;933	0	1	1
54	Kyujou/054	0.5	0.58	1	204614	503;837.92	0	1	1
55	Kyujou/055	0.5	0.6	1	204615	514;886.4	0	1	1
56	Kyujou/056	0.5	0.58	1	204616	0;0	0	1	1
57	Kyujou/057	0.5	0.65	1	204671	0;0	0	1	1
58	Kyujou/058	0.5	0.59	1	204618	498;897	0	1	1
59	Kyujou/059	0.5	0.55	1	204619	490.3;895.92	0	1	1
60	Kyujou/060	0.5	0.58	1	204620	495.26;897.12	0	1	1
61	Kyujou/061	0.5	0.55	1	204621	509.4;896.86	0	1	1
62	Kyujou/062	0.5	0.65	1	204622	531;885.16	0	1	1
63	Kyujou/063	0.5	0.63	1	204617	0;0	0	1	1
64	Kyujou/064	0.5	0.63	1	204625	0;0	0	1	1
65	Kyujou/065	0.5	0.63	1	204635	0;0	0	1	1
66	Kyujou/066	0.5	0.58	1	204662	0;0	0	1	1
67	Kyujou/067	0.5	0.56	2	204585	531;884	0	1	1
68	Kyujou/068	0.5	0.59	2	204720	507;909	0	1	1
69	Kyujou/069	0.5	0.59	2	204720	490;899	0	1	1
70	Kyujou/070	0.5	0.59	1	204618	498;897	0	1	1
71	Roguelike/071	0.5	0.5	1	291937	0;0	0	1	1
72	Roguelike/072	0.5	0.5	1	204865	0;0	0	1	1
73	Roguelike/073	0.5	0.5	1	204706	0;0	0	1	1
101	Kiana/101	0.5	0.62	1	204553	0;0	0	1	1
